Sample in Buffer,Sample in Window,TRIGGER,input_x0[31:0],output_x0[31:0]
898,898,0,43340,0
899,899,0,41774,0
900,900,0,40167,0
901,901,0,38521,0
902,902,0,36837,0
903,903,0,35116,0
904,904,0,33361,0
905,905,0,31572,0
906,906,0,29753,0
907,907,0,27904,0
908,908,0,26027,0
909,909,0,24125,0
910,910,0,22200,0
911,911,0,20252,0
912,912,0,18284,0
913,913,0,16298,0
914,914,0,14296,0
915,915,0,12280,0
916,916,0,10252,0
917,917,0,8214,0
918,918,0,6167,0
919,919,0,4115,0
920,920,0,2059,0
921,921,0,0,0
922,922,0,-2059,0
923,923,0,-4115,0
924,924,0,-6167,0
925,925,0,-8214,0
926,926,0,-10252,0
927,927,0,-12280,0
928,928,0,-14296,0
929,929,0,-16298,0
930,930,0,-18284,0
931,931,0,-20252,0
932,932,0,-22200,0
933,933,0,-24125,0
934,934,0,-26027,0
935,935,0,-27904,0
936,936,0,-29753,0
937,937,0,-31572,0
938,938,0,-33361,0
939,939,0,-35116,0
940,940,0,-36837,0
941,941,0,-38521,0
942,942,0,-40167,0
943,943,0,-41774,0
944,944,0,-43340,0
945,945,0,-44862,0
946,946,0,-46341,0
947,947,0,-47774,0
948,948,0,-49159,0
949,949,0,-50496,0
950,950,0,-51784,0
951,951,0,-53020,0
952,952,0,-54204,0
953,953,0,-55334,0
954,954,0,-56410,0
955,955,0,-57430,0
956,956,0,-58393,0
957,957,0,-59299,0
958,958,0,-60146,0
959,959,0,-60934,0
960,960,0,-61662,0
961,961,0,-62328,0
962,962,0,-62934,0
963,963,0,-63477,0
964,964,0,-63958,0
965,965,0,-64375,0
966,966,0,-64729,0
967,967,0,-65019,0
968,968,0,-65245,0
969,969,0,-65407,0
970,970,0,-65504,0
971,971,0,-65536,0
972,972,0,-65504,0
973,973,0,-65407,0
974,974,0,-65245,0
975,975,0,-65019,0
976,976,0,-64729,0
977,977,0,-64375,0
978,978,0,-63958,0
979,979,0,-63477,0
980,980,0,-62934,0
981,981,0,-62328,0
982,982,0,-61662,0
983,983,0,-60934,0
984,984,0,-60146,0
985,985,0,-59299,0
986,986,0,-58393,0
987,987,0,-57430,0
988,988,0,-56410,0
989,989,0,-55334,0
990,990,0,-54204,0
991,991,0,-53020,0
992,992,0,-51784,0
993,993,0,-50496,0
994,994,0,-49159,0
995,995,0,-47774,0
996,996,0,-46341,0
997,997,0,-44862,0
998,998,0,-43340,0
999,999,0,-41774,0
1000,1000,0,-40167,0
1001,1001,0,-38521,0
1002,1002,0,-36837,0
1003,1003,0,-35116,0
1004,1004,0,-33361,0
1005,1005,0,-31572,0
1006,1006,0,-29753,0
1007,1007,0,-27904,0
1008,1008,0,-26027,0
1009,1009,0,-24125,0
1010,1010,0,-22200,0
1011,1011,0,-20252,0
1012,1012,0,-18284,0
1013,1013,0,-16298,0
1014,1014,0,-14296,0
1015,1015,0,-12280,0
1016,1016,0,-10252,0
1017,1017,0,-8214,0
1018,1018,0,-6167,0
1019,1019,0,-4115,0
1020,1020,0,-2059,0
1021,1021,0,0,0
1022,1022,0,2059,0
1023,1023,0,4115,0
